dimensions,width,height
"(1118, 838)",1118,838
"(1301, 975)",1301,975
"(863, 647)",863,647
"(1381, 1035)",1381,1035
"(1414, 1060)",1414,1060
"(1270, 952)",1270,952
"(875, 656)",875,656
"(1166, 874)",1166,874
"(845, 633)",845,633
"(1315, 986)",1315,986
"(1341, 1005)",1341,1005
"(895, 671)",895,671
"(869, 651)",869,651
"(1230, 922)",1230,922
"(1175, 881)",1175,881
"(1204, 903)",1204,903
"(881, 660)",881,660
"(803, 602)",803,602
"(1251, 938)",1251,938
"(1205, 903)",1205,903
"(1146, 859)",1146,859
"(837, 627)",837,627
"(1379, 1034)",1379,1034
"(1160, 870)",1160,870
"(1160, 870)",1160,870
"(1401, 1050)",1401,1050
"(1221, 915)",1221,915
"(880, 660)",880,660
"(830, 622)",830,622
"(1304, 978)",1304,978
"(1255, 941)",1255,941
"(1159, 869)",1159,869
"(1280, 960)",1280,960
"(1189, 891)",1189,891
"(1169, 876)",1169,876
"(1449, 1086)",1449,1086
"(828, 621)",828,621
"(884, 663)",884,663
"(1376, 1032)",1376,1032
"(1262, 946)",1262,946
"(1271, 953)",1271,953
"(1283, 962)",1283,962
"(804, 603)",804,603
"(899, 674)",899,674
"(878, 658)",878,658
"(848, 636)",848,636
"(1278, 958)",1278,958
"(822, 616)",822,616
"(1328, 996)",1328,996
"(815, 611)",815,611
"(1367, 1025)",1367,1025
"(887, 665)",887,665
"(812, 609)",812,609
"(1307, 980)",1307,980
"(871, 653)",871,653
"(892, 669)",892,669
"(834, 625)",834,625
"(897, 672)",897,672
"(875, 656)",875,656
"(900, 675)",900,675
"(1314, 985)",1314,985
"(1197, 897)",1197,897
"(1238, 928)",1238,928
"(865, 648)",865,648
"(842, 631)",842,631
"(1171, 878)",1171,878
"(1172, 879)",1172,879
"(873, 654)",873,654
"(865, 648)",865,648
"(1454, 1090)",1454,1090
"(859, 644)",859,644
"(1433, 1074)",1433,1074
"(871, 653)",871,653
"(875, 656)",875,656
"(1277, 957)",1277,957
"(1337, 1002)",1337,1002
"(1262, 946)",1262,946
"(1192, 894)",1192,894
"(878, 658)",878,658
"(871, 653)",871,653
"(877, 657)",877,657
"(853, 639)",853,639
"(900, 675)",900,675
"(866, 649)",866,649
"(1418, 1063)",1418,1063
"(837, 627)",837,627
"(1298, 973)",1298,973
"(1371, 1028)",1371,1028
"(1220, 915)",1220,915
"(1469, 1101)",1469,1101
"(853, 639)",853,639
"(1301, 975)",1301,975
"(1144, 858)",1144,858
"(1185, 888)",1185,888
"(894, 670)",894,670
"(1288, 966)",1288,966
"(1326, 994)",1326,994
"(1424, 1068)",1424,1068
"(893, 669)",893,669
"(807, 605)",807,605
"(866, 649)",866,649
"(857, 642)",857,642
"(1273, 954)",1273,954
"(1471, 1103)",1471,1103
"(816, 612)",816,612
"(1210, 907)",1210,907
"(805, 603)",805,603
"(1265, 948)",1265,948
"(816, 612)",816,612
"(1405, 1053)",1405,1053
"(900, 675)",900,675
"(814, 610)",814,610
"(830, 622)",830,622
"(1402, 1051)",1402,1051
"(1445, 1083)",1445,1083
"(1153, 864)",1153,864
"(844, 633)",844,633
"(882, 661)",882,661
"(888, 666)",888,666
"(823, 617)",823,617
"(886, 664)",886,664
"(817, 612)",817,612
"(1465, 1098)",1465,1098
"(871, 653)",871,653
"(1269, 951)",1269,951
"(1213, 909)",1213,909
"(862, 646)",862,646
"(885, 663)",885,663
"(1337, 1002)",1337,1002
"(835, 626)",835,626
"(885, 663)",885,663
"(862, 646)",862,646
"(1279, 959)",1279,959
"(854, 640)",854,640
"(837, 627)",837,627
"(1360, 1020)",1360,1020
"(897, 672)",897,672
"(861, 645)",861,645
"(1140, 855)",1140,855
"(847, 635)",847,635
"(892, 669)",892,669
"(1279, 959)",1279,959
"(888, 666)",888,666
"(1382, 1036)",1382,1036
"(1269, 951)",1269,951
"(1191, 893)",1191,893
"(896, 672)",896,672
"(1396, 1047)",1396,1047
"(881, 660)",881,660
"(892, 669)",892,669
"(878, 658)",878,658
"(1146, 859)",1146,859
"(897, 672)",897,672
"(1258, 943)",1258,943
"(892, 669)",892,669
"(892, 669)",892,669
"(1277, 957)",1277,957
"(895, 671)",895,671
"(1308, 981)",1308,981
"(861, 645)",861,645
"(1183, 887)",1183,887
"(817, 612)",817,612
"(860, 645)",860,645
"(803, 602)",803,602
"(1235, 926)",1235,926
"(828, 621)",828,621
"(856, 642)",856,642
"(1262, 946)",1262,946
"(1205, 903)",1205,903
"(1205, 903)",1205,903
"(830, 622)",830,622
"(818, 613)",818,613
"(882, 661)",882,661
"(888, 666)",888,666
"(817, 612)",817,612
"(856, 642)",856,642
"(1281, 960)",1281,960
"(899, 674)",899,674
"(1195, 896)",1195,896
"(828, 621)",828,621
"(1247, 935)",1247,935
"(820, 615)",820,615
"(1321, 990)",1321,990
"(1261, 945)",1261,945
"(858, 643)",858,643
"(1376, 1032)",1376,1032
"(809, 606)",809,606
"(1447, 1085)",1447,1085
"(886, 664)",886,664
"(1233, 924)",1233,924
"(868, 651)",868,651
"(821, 615)",821,615
"(1149, 861)",1149,861
"(1248, 936)",1248,936
"(891, 668)",891,668
"(812, 609)",812,609
"(1397, 1047)",1397,1047
"(870, 652)",870,652
"(1487, 1115)",1487,1115
"(1185, 888)",1185,888
"(808, 606)",808,606
"(1127, 845)",1127,845
"(857, 642)",857,642
"(1330, 997)",1330,997
"(823, 617)",823,617
"(1474, 1105)",1474,1105
"(1269, 951)",1269,951
"(813, 609)",813,609
"(897, 672)",897,672
"(833, 624)",833,624
"(835, 626)",835,626
"(1263, 947)",1263,947
"(852, 639)",852,639
"(862, 646)",862,646
"(1394, 1045)",1394,1045
"(1359, 1019)",1359,1019
"(887, 665)",887,665
"(1279, 959)",1279,959
"(892, 669)",892,669
"(830, 622)",830,622
"(892, 669)",892,669
"(850, 637)",850,637
"(877, 657)",877,657
"(845, 633)",845,633
"(894, 670)",894,670
"(1161, 870)",1161,870
"(1243, 932)",1243,932
"(1491, 1118)",1491,1118
"(873, 654)",873,654
"(1234, 925)",1234,925
"(1282, 961)",1282,961
"(900, 675)",900,675
"(900, 675)",900,675
"(1181, 885)",1181,885
"(1104, 828)",1104,828
"(1353, 1014)",1353,1014
"(1411, 1058)",1411,1058
"(860, 645)",860,645
"(1253, 939)",1253,939
"(870, 652)",870,652
"(892, 669)",892,669
"(881, 660)",881,660
"(875, 656)",875,656
"(1209, 906)",1209,906
"(862, 646)",862,646
"(1440, 1080)",1440,1080
"(1276, 957)",1276,957
"(828, 621)",828,621
"(1340, 1005)",1340,1005
"(1376, 1032)",1376,1032
"(1228, 921)",1228,921
"(1259, 944)",1259,944
"(1420, 1065)",1420,1065
"(1188, 891)",1188,891
"(1435, 1076)",1435,1076
"(1491, 1118)",1491,1118
"(1218, 913)",1218,913
"(819, 614)",819,614
"(1196, 897)",1196,897
"(1131, 848)",1131,848
"(864, 648)",864,648
"(859, 644)",859,644
"(1458, 1093)",1458,1093
"(885, 663)",885,663
"(1147, 860)",1147,860
"(867, 650)",867,650
"(889, 666)",889,666
"(1390, 1042)",1390,1042
"(859, 644)",859,644
"(825, 618)",825,618
"(819, 614)",819,614
"(1412, 1059)",1412,1059
"(1379, 1034)",1379,1034
"(880, 660)",880,660
"(822, 616)",822,616
"(813, 609)",813,609
"(1497, 1122)",1497,1122
"(821, 615)",821,615
"(828, 621)",828,621
"(880, 660)",880,660
"(819, 614)",819,614
"(807, 605)",807,605
"(884, 663)",884,663
"(1104, 828)",1104,828
"(1461, 1095)",1461,1095
"(1175, 881)",1175,881
"(1483, 1112)",1483,1112
"(887, 665)",887,665
"(884, 663)",884,663
"(829, 621)",829,621
"(1357, 1017)",1357,1017
"(1352, 1014)",1352,1014
"(1207, 905)",1207,905
"(845, 633)",845,633
"(845, 633)",845,633
"(847, 635)",847,635
"(1234, 925)",1234,925
"(845, 633)",845,633
"(887, 665)",887,665
"(1437, 1077)",1437,1077
"(1273, 954)",1273,954
"(890, 667)",890,667
"(1460, 1095)",1460,1095
"(1172, 879)",1172,879
"(825, 618)",825,618
"(865, 648)",865,648
"(863, 647)",863,647
"(823, 617)",823,617
"(1376, 1032)",1376,1032
"(1494, 1120)",1494,1120
"(1323, 992)",1323,992
"(805, 603)",805,603
"(862, 646)",862,646
"(1186, 889)",1186,889
"(834, 625)",834,625
"(1320, 990)",1320,990
"(862, 646)",862,646
"(814, 610)",814,610
"(1425, 1068)",1425,1068
"(1129, 846)",1129,846
"(850, 637)",850,637
"(1272, 954)",1272,954
"(900, 675)",900,675
"(801, 600)",801,600
"(1157, 867)",1157,867
"(1127, 845)",1127,845
"(1354, 1015)",1354,1015
"(1392, 1044)",1392,1044
"(1330, 997)",1330,997
"(820, 615)",820,615
"(1463, 1097)",1463,1097
"(1367, 1025)",1367,1025
"(836, 627)",836,627
"(805, 603)",805,603
"(1145, 858)",1145,858
"(1454, 1090)",1454,1090
"(1140, 855)",1140,855
"(1267, 950)",1267,950
"(844, 633)",844,633
"(1314, 985)",1314,985
"(849, 636)",849,636
"(1373, 1029)",1373,1029
"(1319, 989)",1319,989
"(1264, 948)",1264,948
"(1477, 1107)",1477,1107
"(1203, 902)",1203,902
"(852, 639)",852,639
"(1128, 846)",1128,846
"(1101, 825)",1101,825
"(898, 673)",898,673
"(869, 651)",869,651
"(1207, 905)",1207,905
"(878, 658)",878,658
"(869, 651)",869,651
"(815, 611)",815,611
"(1481, 1110)",1481,1110
"(1445, 1083)",1445,1083
"(1493, 1119)",1493,1119
"(1416, 1062)",1416,1062
"(816, 612)",816,612
"(1118, 838)",1118,838
"(1255, 941)",1255,941
"(894, 670)",894,670
"(861, 645)",861,645
"(1304, 978)",1304,978
"(856, 642)",856,642
"(1457, 1092)",1457,1092
"(801, 600)",801,600
"(847, 635)",847,635
"(1100, 825)",1100,825
"(855, 641)",855,641
"(1305, 978)",1305,978
"(825, 618)",825,618
"(1340, 1005)",1340,1005
"(1417, 1062)",1417,1062
"(1153, 864)",1153,864
"(826, 619)",826,619
"(1238, 928)",1238,928
"(1369, 1026)",1369,1026
"(890, 667)",890,667
"(1222, 916)",1222,916
"(802, 601)",802,601
"(1340, 1005)",1340,1005
"(812, 609)",812,609
"(818, 613)",818,613
"(1399, 1049)",1399,1049
"(1480, 1110)",1480,1110
"(1413, 1059)",1413,1059
"(843, 632)",843,632
"(1197, 897)",1197,897
"(1428, 1071)",1428,1071
"(1138, 853)",1138,853
"(1252, 939)",1252,939
"(837, 627)",837,627
"(855, 641)",855,641
"(1359, 1019)",1359,1019
"(1350, 1012)",1350,1012
"(1115, 836)",1115,836
"(1227, 920)",1227,920
"(876, 657)",876,657
"(854, 640)",854,640
"(1220, 915)",1220,915
"(873, 654)",873,654
"(851, 638)",851,638
"(1395, 1046)",1395,1046
"(810, 607)",810,607
"(837, 627)",837,627
"(1168, 876)",1168,876
"(833, 624)",833,624
"(1330, 997)",1330,997
"(1211, 908)",1211,908
"(877, 657)",877,657
"(1290, 967)",1290,967
"(1346, 1009)",1346,1009
"(1274, 955)",1274,955
"(1463, 1097)",1463,1097
"(1493, 1119)",1493,1119
"(891, 668)",891,668
"(803, 602)",803,602
"(895, 671)",895,671
"(1394, 1045)",1394,1045
"(805, 603)",805,603
"(801, 600)",801,600
"(1471, 1103)",1471,1103
"(1279, 959)",1279,959
"(1171, 878)",1171,878
"(1161, 870)",1161,870
"(861, 645)",861,645
"(886, 664)",886,664
"(869, 651)",869,651
"(851, 638)",851,638
"(826, 619)",826,619
"(813, 609)",813,609
"(889, 666)",889,666
"(1226, 919)",1226,919
"(875, 656)",875,656
"(870, 652)",870,652
"(1303, 977)",1303,977
"(1392, 1044)",1392,1044
"(1436, 1077)",1436,1077
"(800, 600)",800,600
"(816, 612)",816,612
"(1470, 1102)",1470,1102
"(837, 627)",837,627
"(855, 641)",855,641
"(1176, 882)",1176,882
"(1411, 1058)",1411,1058
"(1239, 929)",1239,929
"(859, 644)",859,644
"(1259, 944)",1259,944
"(1437, 1077)",1437,1077
"(1472, 1104)",1472,1104
"(831, 623)",831,623
"(1334, 1000)",1334,1000
"(1276, 957)",1276,957
"(852, 639)",852,639
"(1486, 1114)",1486,1114
"(806, 604)",806,604
"(1305, 978)",1305,978
"(893, 669)",893,669
"(851, 638)",851,638
"(874, 655)",874,655
"(866, 649)",866,649
"(1147, 860)",1147,860
"(900, 675)",900,675
"(1364, 1023)",1364,1023
"(1274, 955)",1274,955
"(1221, 915)",1221,915
"(1124, 843)",1124,843
"(1500, 1125)",1500,1125
"(844, 633)",844,633
"(886, 664)",886,664
"(815, 611)",815,611
"(817, 612)",817,612
"(827, 620)",827,620
"(878, 658)",878,658
"(1169, 876)",1169,876
"(838, 628)",838,628
"(1367, 1025)",1367,1025
"(1383, 1037)",1383,1037
"(1365, 1023)",1365,1023
"(884, 663)",884,663
"(835, 626)",835,626
"(890, 667)",890,667
"(833, 624)",833,624
"(878, 658)",878,658
"(1298, 973)",1298,973
"(800, 600)",800,600
"(824, 618)",824,618
"(825, 618)",825,618
"(1334, 1000)",1334,1000
"(874, 655)",874,655
"(1336, 1002)",1336,1002
"(1437, 1077)",1437,1077
"(1357, 1017)",1357,1017
"(887, 665)",887,665
"(867, 650)",867,650
"(1335, 1001)",1335,1001
"(878, 658)",878,658
"(834, 625)",834,625
"(1284, 963)",1284,963
"(1495, 1121)",1495,1121
"(893, 669)",893,669
"(1421, 1065)",1421,1065
"(815, 611)",815,611
"(1297, 972)",1297,972
"(1381, 1035)",1381,1035
"(804, 603)",804,603
"(820, 615)",820,615
"(1330, 997)",1330,997
"(1361, 1020)",1361,1020
"(815, 611)",815,611
"(1462, 1096)",1462,1096
"(810, 607)",810,607
"(814, 610)",814,610
"(821, 615)",821,615
"(1175, 881)",1175,881
"(1335, 1001)",1335,1001
"(896, 672)",896,672
"(809, 606)",809,606
"(859, 644)",859,644
"(879, 659)",879,659
"(1134, 850)",1134,850
"(1274, 955)",1274,955
"(1234, 925)",1234,925
"(852, 639)",852,639
"(1473, 1104)",1473,1104
"(1312, 984)",1312,984
"(863, 647)",863,647
"(839, 629)",839,629
"(1181, 885)",1181,885
"(813, 609)",813,609
"(835, 626)",835,626
"(1485, 1113)",1485,1113
"(1176, 882)",1176,882
"(802, 601)",802,601
"(805, 603)",805,603
"(1249, 936)",1249,936
"(1407, 1055)",1407,1055
"(813, 609)",813,609
"(1139, 854)",1139,854
"(1198, 898)",1198,898
"(1466, 1099)",1466,1099
"(1103, 827)",1103,827
"(891, 668)",891,668
"(855, 641)",855,641
"(845, 633)",845,633
"(1202, 901)",1202,901
"(1396, 1047)",1396,1047
"(1117, 837)",1117,837
"(1311, 983)",1311,983
"(893, 669)",893,669
"(805, 603)",805,603
"(1209, 906)",1209,906
"(1403, 1052)",1403,1052
"(1313, 984)",1313,984
"(826, 619)",826,619
"(881, 660)",881,660
"(1298, 973)",1298,973
"(1103, 827)",1103,827
"(891, 668)",891,668
"(891, 668)",891,668
"(874, 655)",874,655
"(871, 653)",871,653
"(1162, 871)",1162,871
"(1313, 984)",1313,984
"(824, 618)",824,618
"(1413, 1059)",1413,1059
"(1382, 1036)",1382,1036
"(890, 667)",890,667
"(868, 651)",868,651
"(855, 641)",855,641
"(1399, 1049)",1399,1049
"(1242, 931)",1242,931
"(836, 627)",836,627
"(843, 632)",843,632
"(859, 644)",859,644
"(1332, 999)",1332,999
"(842, 631)",842,631
"(1134, 850)",1134,850
"(802, 601)",802,601
"(871, 653)",871,653
"(860, 645)",860,645
"(1271, 953)",1271,953
"(1266, 949)",1266,949
"(878, 658)",878,658
"(1292, 969)",1292,969
"(1392, 1044)",1392,1044
"(1247, 935)",1247,935
"(1422, 1066)",1422,1066
"(864, 648)",864,648
"(1183, 887)",1183,887
"(1212, 909)",1212,909
"(1400, 1050)",1400,1050
"(834, 625)",834,625
"(1439, 1079)",1439,1079
"(1244, 933)",1244,933
"(1428, 1071)",1428,1071
"(858, 643)",858,643
"(872, 654)",872,654
"(1127, 845)",1127,845
"(1398, 1048)",1398,1048
"(1446, 1084)",1446,1084
"(887, 665)",887,665
"(874, 655)",874,655
"(1121, 840)",1121,840
"(861, 645)",861,645
"(1121, 840)",1121,840
"(1242, 931)",1242,931
"(806, 604)",806,604
"(860, 645)",860,645
"(1388, 1041)",1388,1041
"(823, 617)",823,617
"(1388, 1041)",1388,1041
"(876, 657)",876,657
"(826, 619)",826,619
"(1258, 943)",1258,943
"(1150, 862)",1150,862
"(1305, 978)",1305,978
"(866, 649)",866,649
"(1467, 1100)",1467,1100
"(854, 640)",854,640
"(1445, 1083)",1445,1083
"(841, 630)",841,630
"(1300, 975)",1300,975
"(848, 636)",848,636
"(899, 674)",899,674
"(1361, 1020)",1361,1020
"(856, 642)",856,642
"(1304, 978)",1304,978
"(1225, 918)",1225,918
"(826, 619)",826,619
"(1500, 1125)",1500,1125
"(1267, 950)",1267,950
"(1408, 1056)",1408,1056
"(1220, 915)",1220,915
"(870, 652)",870,652
"(825, 618)",825,618
"(1265, 948)",1265,948
"(1299, 974)",1299,974
"(1456, 1092)",1456,1092
"(1196, 897)",1196,897
"(1332, 999)",1332,999
"(817, 612)",817,612
"(824, 618)",824,618
"(1379, 1034)",1379,1034
"(1393, 1044)",1393,1044
"(898, 673)",898,673
"(894, 670)",894,670
"(808, 606)",808,606
"(845, 633)",845,633
"(1271, 953)",1271,953
"(884, 663)",884,663
"(870, 652)",870,652
"(1307, 980)",1307,980
"(841, 630)",841,630
"(1497, 1122)",1497,1122
"(1217, 912)",1217,912
"(897, 672)",897,672
"(1277, 957)",1277,957
"(1201, 900)",1201,900
"(870, 652)",870,652
"(812, 609)",812,609
"(890, 667)",890,667
"(1268, 951)",1268,951
"(829, 621)",829,621
"(856, 642)",856,642
"(1268, 951)",1268,951
"(883, 662)",883,662
"(894, 670)",894,670
"(808, 606)",808,606
"(806, 604)",806,604
"(886, 664)",886,664
"(1435, 1076)",1435,1076
"(865, 648)",865,648
"(1455, 1091)",1455,1091
"(1200, 900)",1200,900
"(846, 634)",846,634
"(1266, 949)",1266,949
"(808, 606)",808,606
"(857, 642)",857,642
"(801, 600)",801,600
"(1225, 918)",1225,918
"(1470, 1102)",1470,1102
"(894, 670)",894,670
"(806, 604)",806,604
"(1376, 1032)",1376,1032
"(1273, 954)",1273,954
"(882, 661)",882,661
"(886, 664)",886,664
"(1352, 1014)",1352,1014
"(1334, 1000)",1334,1000
"(883, 662)",883,662
"(820, 615)",820,615
"(856, 642)",856,642
"(834, 625)",834,625
"(813, 609)",813,609
"(869, 651)",869,651
"(1235, 926)",1235,926
"(1105, 828)",1105,828
"(1143, 857)",1143,857
"(1449, 1086)",1449,1086
"(1120, 840)",1120,840
"(810, 607)",810,607
"(1224, 918)",1224,918
"(830, 622)",830,622
"(1181, 885)",1181,885
"(1460, 1095)",1460,1095
"(1272, 954)",1272,954
"(880, 660)",880,660
"(1186, 889)",1186,889
"(1337, 1002)",1337,1002
"(836, 627)",836,627
"(822, 616)",822,616
"(1388, 1041)",1388,1041
"(888, 666)",888,666
"(1147, 860)",1147,860
"(1267, 950)",1267,950
"(887, 665)",887,665
"(1412, 1059)",1412,1059
"(1246, 934)",1246,934
"(1497, 1122)",1497,1122
"(890, 667)",890,667
"(1246, 934)",1246,934
"(1126, 844)",1126,844
"(1460, 1095)",1460,1095
"(1354, 1015)",1354,1015
"(1424, 1068)",1424,1068
"(1456, 1092)",1456,1092
"(800, 600)",800,600
"(1405, 1053)",1405,1053
"(1276, 957)",1276,957
"(1358, 1018)",1358,1018
"(1188, 891)",1188,891
"(1385, 1038)",1385,1038
"(863, 647)",863,647
"(1300, 975)",1300,975
"(1498, 1123)",1498,1123
"(893, 669)",893,669
"(1257, 942)",1257,942
"(863, 647)",863,647
"(1279, 959)",1279,959
"(876, 657)",876,657
"(1224, 918)",1224,918
"(1476, 1107)",1476,1107
"(882, 661)",882,661
"(1490, 1117)",1490,1117
"(1420, 1065)",1420,1065
"(898, 673)",898,673
"(1217, 912)",1217,912
"(827, 620)",827,620
"(1228, 921)",1228,921
"(839, 629)",839,629
"(1191, 893)",1191,893
"(842, 631)",842,631
"(871, 653)",871,653
"(819, 614)",819,614
"(1325, 993)",1325,993
"(802, 601)",802,601
"(1156, 867)",1156,867
"(878, 658)",878,658
"(1358, 1018)",1358,1018
"(1483, 1112)",1483,1112
"(840, 630)",840,630
"(1234, 925)",1234,925
"(839, 629)",839,629
"(800, 600)",800,600
"(822, 616)",822,616
"(1307, 980)",1307,980
"(1222, 916)",1222,916
"(1343, 1007)",1343,1007
"(1160, 870)",1160,870
"(1217, 912)",1217,912
"(846, 634)",846,634
"(1306, 979)",1306,979
"(899, 674)",899,674
"(1408, 1056)",1408,1056
"(816, 612)",816,612
"(829, 621)",829,621
"(1398, 1048)",1398,1048
"(1427, 1070)",1427,1070
"(1306, 979)",1306,979
"(811, 608)",811,608
"(1161, 870)",1161,870
"(1315, 986)",1315,986
"(1387, 1040)",1387,1040
"(1136, 852)",1136,852
"(872, 654)",872,654
"(1329, 996)",1329,996
"(1219, 914)",1219,914
"(844, 633)",844,633
"(806, 604)",806,604
"(843, 632)",843,632
"(831, 623)",831,623
"(893, 669)",893,669
"(1233, 924)",1233,924
"(893, 669)",893,669
"(852, 639)",852,639
"(1127, 845)",1127,845
"(830, 622)",830,622
"(900, 675)",900,675
"(858, 643)",858,643
"(1306, 979)",1306,979
"(874, 655)",874,655
"(881, 660)",881,660
"(803, 602)",803,602
"(1225, 918)",1225,918
"(825, 618)",825,618
"(834, 625)",834,625
"(1283, 962)",1283,962
"(1398, 1048)",1398,1048
"(1466, 1099)",1466,1099
"(1445, 1083)",1445,1083
"(1199, 899)",1199,899
"(1405, 1053)",1405,1053
"(1382, 1036)",1382,1036
"(1154, 865)",1154,865
"(861, 645)",861,645
"(848, 636)",848,636
"(862, 646)",862,646
"(893, 669)",893,669
"(808, 606)",808,606
"(1151, 863)",1151,863
"(819, 614)",819,614
"(875, 656)",875,656
"(1439, 1079)",1439,1079
"(1291, 968)",1291,968
"(893, 669)",893,669
"(1331, 998)",1331,998
"(1172, 879)",1172,879
"(1381, 1035)",1381,1035
"(802, 601)",802,601
"(825, 618)",825,618
"(1219, 914)",1219,914
"(1124, 843)",1124,843
"(900, 675)",900,675
"(1364, 1023)",1364,1023
"(1481, 1110)",1481,1110
"(848, 636)",848,636
"(1177, 882)",1177,882
"(843, 632)",843,632
"(1464, 1098)",1464,1098
"(858, 643)",858,643
"(1223, 917)",1223,917
"(1447, 1085)",1447,1085
"(887, 665)",887,665
"(887, 665)",887,665
"(1387, 1040)",1387,1040
"(1374, 1030)",1374,1030
"(1370, 1027)",1370,1027
"(1229, 921)",1229,921
"(1469, 1101)",1469,1101
"(823, 617)",823,617
"(875, 656)",875,656
"(1101, 825)",1101,825
"(1394, 1045)",1394,1045
"(1432, 1074)",1432,1074
"(808, 606)",808,606
"(1330, 997)",1330,997
"(1495, 1121)",1495,1121
"(849, 636)",849,636
"(1300, 975)",1300,975
"(1106, 829)",1106,829
"(1461, 1095)",1461,1095
"(858, 643)",858,643
"(849, 636)",849,636
"(1392, 1044)",1392,1044
"(1346, 1009)",1346,1009
"(889, 666)",889,666
"(1279, 959)",1279,959
"(864, 648)",864,648
"(1308, 981)",1308,981
"(812, 609)",812,609
"(831, 623)",831,623
"(1252, 939)",1252,939
"(1491, 1118)",1491,1118
"(842, 631)",842,631
"(879, 659)",879,659
"(1493, 1119)",1493,1119
"(835, 626)",835,626
"(1294, 970)",1294,970
"(1157, 867)",1157,867
"(1247, 935)",1247,935
"(823, 617)",823,617
"(830, 622)",830,622
"(860, 645)",860,645
"(888, 666)",888,666
"(880, 660)",880,660
"(859, 644)",859,644
"(888, 666)",888,666
"(877, 657)",877,657
"(1458, 1093)",1458,1093
"(1463, 1097)",1463,1097
"(1217, 912)",1217,912
"(848, 636)",848,636
"(899, 674)",899,674
"(898, 673)",898,673
"(846, 634)",846,634
"(801, 600)",801,600
"(878, 658)",878,658
"(1332, 999)",1332,999
"(1138, 853)",1138,853
"(883, 662)",883,662
"(808, 606)",808,606
"(801, 600)",801,600
"(1329, 996)",1329,996
"(1224, 918)",1224,918
"(825, 618)",825,618
"(858, 643)",858,643
"(1124, 843)",1124,843
"(1251, 938)",1251,938
"(840, 630)",840,630
"(898, 673)",898,673
"(1376, 1032)",1376,1032
"(1421, 1065)",1421,1065
"(817, 612)",817,612
"(857, 642)",857,642
"(1230, 922)",1230,922
"(1348, 1011)",1348,1011
"(853, 639)",853,639
"(886, 664)",886,664
"(832, 624)",832,624
"(886, 664)",886,664
"(1419, 1064)",1419,1064
"(1116, 837)",1116,837
"(1260, 945)",1260,945
"(844, 633)",844,633
"(824, 618)",824,618
"(811, 608)",811,608
"(868, 651)",868,651
"(1126, 844)",1126,844
"(842, 631)",842,631
"(1461, 1095)",1461,1095
"(1158, 868)",1158,868
"(820, 615)",820,615
"(813, 609)",813,609
"(1155, 866)",1155,866
"(1231, 923)",1231,923
"(890, 667)",890,667
"(1237, 927)",1237,927
"(814, 610)",814,610
"(1302, 976)",1302,976
"(877, 657)",877,657
"(1487, 1115)",1487,1115
"(836, 627)",836,627
"(826, 619)",826,619
"(1159, 869)",1159,869
"(1476, 1107)",1476,1107
"(1306, 979)",1306,979
"(822, 616)",822,616
"(802, 601)",802,601
"(885, 663)",885,663
"(1481, 1110)",1481,1110
"(865, 648)",865,648
"(849, 636)",849,636
"(1480, 1110)",1480,1110
"(853, 639)",853,639
"(884, 663)",884,663
"(1341, 1005)",1341,1005
"(838, 628)",838,628
"(828, 621)",828,621
"(830, 622)",830,622
"(1168, 876)",1168,876
"(846, 634)",846,634
"(830, 622)",830,622
"(1345, 1008)",1345,1008
"(1430, 1072)",1430,1072
"(1274, 955)",1274,955
"(1240, 930)",1240,930
"(1469, 1101)",1469,1101
"(1330, 997)",1330,997
"(864, 648)",864,648
"(1411, 1058)",1411,1058
"(856, 642)",856,642
"(820, 615)",820,615
"(876, 657)",876,657
"(1332, 999)",1332,999
"(862, 646)",862,646
"(1219, 914)",1219,914
"(1127, 845)",1127,845
"(805, 603)",805,603
"(1152, 864)",1152,864
"(1344, 1008)",1344,1008
"(1226, 919)",1226,919
"(1393, 1044)",1393,1044
"(884, 663)",884,663
"(1457, 1092)",1457,1092
"(1497, 1122)",1497,1122
"(815, 611)",815,611
"(817, 612)",817,612
"(837, 627)",837,627
"(1406, 1054)",1406,1054
"(1105, 828)",1105,828
"(1334, 1000)",1334,1000
"(827, 620)",827,620
"(886, 664)",886,664
"(887, 665)",887,665
"(1135, 851)",1135,851
"(869, 651)",869,651
"(801, 600)",801,600
"(1324, 993)",1324,993
"(859, 644)",859,644
"(1369, 1026)",1369,1026
"(841, 630)",841,630
"(1338, 1003)",1338,1003
"(861, 645)",861,645
"(1234, 925)",1234,925
"(1318, 988)",1318,988
"(1142, 856)",1142,856
"(853, 639)",853,639
"(854, 640)",854,640
"(823, 617)",823,617
"(808, 606)",808,606
"(1427, 1070)",1427,1070
"(1172, 879)",1172,879
"(813, 609)",813,609
"(882, 661)",882,661
"(1142, 856)",1142,856
"(899, 674)",899,674
"(1108, 831)",1108,831
"(822, 616)",822,616
"(1262, 946)",1262,946
"(1268, 951)",1268,951
"(810, 607)",810,607
"(1212, 909)",1212,909
"(889, 666)",889,666
"(1103, 827)",1103,827
"(843, 632)",843,632
"(1242, 931)",1242,931
"(1306, 979)",1306,979
"(886, 664)",886,664
"(1300, 975)",1300,975
"(1448, 1086)",1448,1086
"(1137, 852)",1137,852
"(833, 624)",833,624
"(845, 633)",845,633
"(845, 633)",845,633
"(1209, 906)",1209,906
"(1179, 884)",1179,884
"(820, 615)",820,615
"(1492, 1119)",1492,1119
